index	sentence1	sentence2	label
10	D'Lina Joy 42 gouf als Azlina Jailani zu malayeschen Elteren gebuer a gouf als Moslem opgewuess. D'Verfassung vu Malaysia garantéiert Reliounsfräiheet awer duerch Gesetz sinn all ethnesch Malays Moslem. Joy ëmgerechent Chrëschtentum am Alter 26 an no e puer bürokratesch Schwieregkeeten huet hir genannt legal geännert an 1999. Allerdéngs op hir MyKad national ID der National Aschreiwung Departement behalen hir uginn Relioun als Islam. Fir hir Relioun z'änneren huet d'National Registréierungsdepartement gesot datt d'Joy e Certificat vun Apostasy vum muslimesche Sharia Geriicht muss kréien.	Dem Lina Joy seng Elteren kommen aus Malaysia.	1
11	Den 9. November 1989 den Dag wou d'Berliner Mauer gefall ass an d'Welt fir ëmmer geännert huet. Net emol déi schlau gesinn et kommen. Als Ungarn Ausseminister am spéide Summer 1989 huet de Gyula Horn den Uerder ginn de besichen Ostdäitschen säi Land ze loossen fir e 400 Meilen Enn Run ronderëm d'Berliner Mauer ze maachen eng Beweegung déi elo als Ufank vum Enn fir haart- Linn Kommunismus an Europa.	D'Berliner Mauer gouf 1989 ofgerappt.	1
12	Valero Energy Corp. e Méindeg huet gesot datt et "extensiv" zousätzlech Schued bei senger 250000-Fass-pro-Dag Port Arthur Raffinerie fonnt huet.	Valero Energy Corp. produzéiert 250.000 Fässer pro Dag.	1
13	Ueleg Präisser falen zréck wéi Yukos Ueleg Bedrohung opgehuewe	Uelegpräisser klammen.	0
14	De Brian Brohm de Louisville Quarterback huet fir 368 Yards a fënnef Touchdowns geheit wéi d'Kardinale de Besuch vum Oregon State 63-27 geschloen hunn.	De Quarterback huet fir 413 Yards an dräi Touchdowns geheit an ass dunn nach zwee Mol an d'Endzone gelaf.	0
15	De Greg Page e fréiere Schwéiergewiicht Boxmeeschter deen eng schwéier Gehir Verletzung an engem Kampf 2001 erlieft huet ass am Alter vun 50 gestuerwen. Seng Fra Patricia sot datt de eemolege WBA Champion bei sengem Heem zu Kentucky USA gestuerwen ass u Komplikatiounen am Zesummenhang mat Verletzungen. am Kampf gelidden. Page war an engem Koma fir eng Woch nom 9. Mäerz 2001 Kampf géint den Dale Crowe deen an der 10. Ronn gestoppt gouf. D'Patricia Page sot datt hien "elo op enger besserer Plaz wier" nodeems hien e Méindeg ugekënnegt huet datt hien iwwer Nuecht a sengem Schlof gestuerwen ass.	De Greg Page war e WBA Champion.	1
16	D'Sierra bleift méiglecherweis am Prisong am Hillsborough County Prisong an hirer Heemecht Tampa bis hir nächst Verhéierung den 20. Dezember wou si ouni Kautioun ofgehale gëtt wat verhënnert datt si um Washington Event e Freideg deelhëllt och wa si nach ëmmer d'Erlaabnes hat fir opzeféieren. . D'Sierra ass zënter dem Ufank vum Mount am Prisong no engem Sträit mat Polizisten ausserhalb vun engem Tampa Nuetsclub aus deem si erausgehäit gouf. Si gëtt ugeklot fir onroueg Intoxikatioun a Widderstand géint Verhaftung.	D'Sierra huet eemol d'Finale vum "American Idol" erreecht.	0
17	Zënter 1987 huet Brasilien awer Schrëtt geholl fir d'Zerstéierung dramatesch ze reduzéieren ënner anerem verstäerkter Duerchféierung an d'Eliminatioun vu Steierincentives déi zu grousser Landkäschte gefouert hunn.	Am fréien 1990er huet Brasilien ugefaang Handlungen ze huelen fir de Reebësch ze retten.	0
18	D'FIFA huet 11 Offere kritt fir d'2018 an 2022 FIFA Weltmeeschterschaften Tournoie ze hosten en internationale Fussballkonkurrenz deen vun den Härennationalequipen concourséiert gëtt. D'Länner déi kämpfen fir den Tournoi ze hosten sinn Australien England Indonesien Japan Mexiko Katar Russland Südkorea an d'USA déi individuell Offeren hunn an déi gemeinsam Offere sinn aus der Belsch-Holland a Spuenien-Portugal. Wielt Offere si fir 2018 an 2022 Turnéier an zwou Offere si just fir den 2022 Tournoi. Qatar a Südkorea kämpfe just fir den 2022 Tournoi. Déi zwee Gewënner Offere ginn am Dezember 2010 vum 24-Mann Exekutivkomitee vun der FIFA gewielt. Said FIFA President Sepp Blatter: "Mir si ganz frou iwwer de fantastesche Niveau vun Interessi un eisem Flaggschëff Concours mat all initial Ubidder hir Kandidatur confirméieren."	De Sepp Blatter ass de President vun der FIFA.	1
19	D'US Roh ass $ 132 méi niddereg bei $ 4283 pro Barrel festgeluecht.	Crude d'Liicht Amerikaner erofgaang op de Schluss 132 Dollar op 4283 Dollar de Faass.	0
20	WINNENDEN Däitschland - En Teenager Gewierer huet e Mëttwoch 15 Leit ëmbruecht déi meescht vun hinnen weiblech an engem Rampage deen an enger Schoul bei Stuttgart a Süddäitschland ugefaang huet an an enger Emgéigend Stad opgehalen huet wou hien sech selwer ëmbruecht huet nodeems d'Police him blesséiert hat. D'Attack huet Däitschland verlooss dat no engem ähnlechen Attack an enger Schoul viru 7 Joer haart Waffekontrolle verschäerft huet kämpft fir d'Blutt ze verstoen déi et erëm gefall ass e Land mat relativ wéineg Gewaltverbriechen. Am Joer 2002 huet e Gewierer 16 Leit ëmbruecht ier hien sech an enger Schoul zu Erfurt am Oste vun Däitschland ëmbruecht huet.	2002 bei Stuttgart huet e Jong 16 Leit erschoss.	0
21	Vill Hoffnungen reiden op de Verkaf vun Talisman Holdings zu Palm Beach an Hendry Grofschaften déi de Vizepresident Al Gore d'lescht Joer um 50. Anniversaire vum Everglades National Park mat vill Fanfare ugekënnegt huet.	Den Everglades National Park ass a Florida.	0
22	Rabies Virus infizéiert den Zentralnervensystem verursaacht Ensephalopathie a schlussendlech den Doud. Fréi Symptomer vun Tollwut bei Mënschen sinn onspezifesch besteet aus Féiwer Kappwéi an allgemeng Malaise.	Rabies ass fatal bei Mënschen.	1
23	Amerikanesch Tubaksfirmen hunn e Gewënn am meeschte Véierel gewisen wéinst Exportverkaaf vun Zigaretten an Diversifikatioun vun de verkaafte Produkter abegraff Liewensmëttel.	PM koum dacks op Mäert mat béid Zigaretten a Liewensmëttel.	0
24	D'Entwécklung vun der Landwirtschaft vu fréie Mënschen virun ongeféier 10.000 Joer war och schiedlech fir vill natierlech Ökosystemer well se systematesch zerstéiert an duerch kënschtlech Versiounen ersat goufen.	D'Mënsche goufe virun 10.000 Joer.	1
25	Déi zwee jonk Leader vum Putsch Pibul Songgram a Pridi Phanomyang allebéid an Europa gebilt a beaflosst vu westlechen Iddien koumen an de Joren duerno d'Thai Politik ze dominéieren.	Pibul war e jonke Leader.	1
26	De Lin Piao war schliisslech den Ersteller vum Mao sengem "Little Red Book" vun Zitater.	De Lin Piao huet dat "Little Red Book" geschriwwen.	1
27	Wann d'Patienten e Kurs vun Antibiotike ënnerbriechen ginn déi iwwerliewend Bakterien zréck mat enger Rache dacks séier mutéiert fir d'Therapie ze widderstoen.	Bakterien gewannen de Krich géint Antibiotike.	0
28	Am Ufank war d'Bundesbank géint d'Aféierung vum Euro awer war gezwongen et ze akzeptéieren am Liicht vum politeschen Drock vun de kapitalistesche Politiker déi hir Aféierung ënnerstëtzt hunn.	Der Aféierung vum Euro gouf dogéint.	1
29	D'Arméi Pressekommissioun (COPREFA) huet zouginn datt d'Regierungstruppen 11 Affer an dëse Konflikter erhalen hunn a bäigefüügt datt se dräi Affer op d'Rebellen agefouert hunn.	Dräi Rebelle goufen duerch Regierungstruppen ëmbruecht.	1
30	Eng wirtschaftlech Etude wäert net d'Basis vun den ëffentleche politeschen Entscheedunge vu Kanada sinn awer dem Easton seng Fuerschung weist schlussendlech datt et wirtschaftlech Virdeeler bei der Legaliséierung vu Marihuana sinn.	Drogen Legaliséierung huet Virdeeler.	1
31	Archäologen hunn ongeféier 30 wonnerschéin konservéiert Mumien an enger 4.000 Joer aler ägyptescher Nekropolis fonnt déi 53 Griewer gehal huet. Supervisor vun Antiquitéite fir Mëtt Ägypten Dr Abdel-Rahman El-Ayedi Team etabléiert seng archeologesche Site an der Faiyum Oasis bei der El-Lahun egypteschen Pyramid déi just südlech vu Kairo ass. Nieft de Mummien huet d'Equipe Masken Amuletten Lehmdëppen an en Offerdësch an enger Kierfecht fonnt. D'Kapell staamt op ongeféier 30 v.C. bis 337 AD.	Am Süde vu Kairo stinn 30 schéin erhale Mumieën.	1
32	Gastrointestinal Blutungen kënne geschéien als en negativen Effekt vun net-steroidalen anti-inflammatoreschen Drogen wéi Aspirin oder Ibuprofen.	Aspirin verhënnert gastrointestinal Blutungen.	0
33	E fréiere Mataarbechter vun der Firma David Vance vu South Portland sot datt Hooper vill Zäit op der Strooss verbruecht huet dacks mat Clienten tëscht Portland a Kittery begéint.	Hooper ass e Bierger vu Portland.	0
34	Zypern opgedeelt oder net trëtt den 1. Mee an d'EU.	Zypern gouf den 1. Mee an zwee Deeler opgedeelt.	0
35	D'Weltleit hunn en Donneschdeg Bedenken ausgedréckt datt Nordkorea sechs-Partei Nuklear Ofrüstungsverhandlunge wäert ophalen an hiren Atomwaffenarsenal stäerken.	Nordkorea seet et huet e Stock vun Atomwaffen a baut méi.	0
36	Nieft der Grënnung vun der Wahlkommissioun betrëfft d'Gesetzer och d'Nationalitéit e kontroversen Thema zënter Nationalitéitsgesetzer verschäerft goufen fir ee vun den Haaptkonkurrenten vum Gbagbo aus der 2000 Presidentschaftsrace auszeschléissen de fréiere Premier Minister Alassane Ouattara.	Gbagbo ass e Konkurrent vun Ouattara.	1
37	De Mohandas Karamchand Gandhi krut ni de Friddensnobelpräis obwuel hie fënnef Mol tëscht 1937 an 1948 nominéiert gouf.	De Mohandas krut 1989 den Nobelpräis.	0
38	D'Chrëschtdemokraten (CDU) kruten 352% vun de Stëmmen oder 225 Sëtz géint 343% fir d'Sozialdemokraten vum Kanzler Gerhard Schröder (SPD).	Et schéngt onwahrscheinlech datt et eng Koalitioun tëscht dem Gerhard Schröder senge Sozialdemokraten an dem Angela Merkel senger Chrëschtdemokratescher Unioun gëtt.	0
39	Den Edward VIII gouf am Januar 1936 Kinnek an huet am Dezember abdizéiert.	De Kinnek Edward VIII huet am Dezember 1936 abdizéiert.	1
40	Den australesche Guantanamo Bay Gefaangenen David Hicks huet d'britesch Staatsbiergerschaft gewonnen an huet d'Dier opgemaach fir eng méiglech Offer fir hien aus der US Haftgebai op Kuba ze befreien. D'Justiz Lawrence Collins vum britesche Ieweschte Geriichtshaff huet de Refus vun der britescher Regierung d'Biergerschaft un den Hicks ëmgedréit deem seng Mamm an England gebuer gouf. De Justice Collins sot datt d'Regierung "keng Kraaft huet fir d'Biergerschaft zréckzehalen oder ze entzéien". De Riichter Collins sot: "A menger Meenung no wier et ongerecht ze verzichten Hëllef ze ginn déi soss géif ginn einfach well de Fuerderung gegleeft gouf an Terrorismus involvéiert ze sinn an keng fréier Verbindung mat dësem Land hat." Den Hicks Affekot Stephen Grosz sot datt d'Entscheedung en Duerchbroch wier. Hien huet gesot datt et elo kee Grond wier firwat den Hicks net dee selwechte Schutz genéisse sollt wéi déi néng aner britesch Bierger déi gratis vu Guantanamo Bay op Representatioune vun der britescher Regierung fräigelooss goufen.	De Stephen Grosz ass de briteschen Affekot vum David Hicks.	0
41	Rockweed gouf kommerziell an Nova Scotia zanter de spéiden 1950er ernannt an ass de Moment déi wichtegst kommerziell Seewier am Atlantik Kanada.	Marine Vegetatioun gëtt gesammelt.	1
42	De pakistanesche President Pervez Musharraf huet d'Sécherheetsmuecht bestallt fir fest Aktioun géint Onrouer ze huelen no der Ermuerdung vum Oppositiounsleader Benazir Bhutto. D'Gewalt huet op d'mannst 44 Leit dout an Dosende blesséiert. Den Här Musharraf huet insistéiert datt d'Mesuren d'Leit schützen. Dem VOA säin Ayaz Gul bericht aus Islamabad datt och e battere Sträit ausgebrach ass wéi de 54 Joer ale Politiker gestuerwen ass a wien hannert hirem Attentat stoung.	De Musharraf huet Onrouer bestallt fir fest Aktioun géint d'Sécherheetsmuecht ze huelen.	0
43	E Mount nodeems de Gouverneur David A. Paterson seng Propositioun fir eng Soda-Steier erofgelooss huet huet de Gesondheetskommissär vun New York City en Artikel geschriwwen dee fir "hëtzeg" Steieren op Soda a Sportsdrénke mat Zocker asetzt. Esou eng Steier esou den Artikel kéint de gréisste Boni fir d'ëffentlech Gesondheet sinn zënter Tubaksteieren. De Kommissär den Dr Thomas R. Frieden an d'Kelly D. Brownell vun der Yale University säi Co-Autor argumentéieren am New England Journal of Medicine datt eng Tax vun engem Penny pro Unze de Konsum ëm méi wéi 10 Prozent reduzéiere kéint an erhéijen 12 Milliarden Dollar d'Joer eleng am Staat New York.	De Michael Bloomberg ass de Buergermeeschter vun New York.	0
44	D'Beamten soten datt de finnesche Verdächtegen ënnert den Doudegen wier awer net e Motiv fir d'Attack ginn.	Beamten hunn gesot datt de Verdächtege e finnesche Bierger ënnert den Doudegen war.	1
45	Groussbritannien huet sech ausgemaach bis den 31. Mäerz eng 150 Meilen militäresch Schutzzon opzehiewen déi ronderëm d'Inselen duerchgesat gouf zënter Argentinien se am Joer 1982 invadéiert huet.	D'militäresch Schutzzon ronderëm Falklands gouf opgehuewen.	1
46	Dem Fährbesëtzer PT Nur Budi säi Spriecher huet d'indonesesch Hafenautoritéite fir d'Tragedie zouginn. "D'Passagéierkapazitéit vun der Fähr ass 205 Leit awer den Hafenadministrator huet méi Passagéier akzeptéiert wéi se geduecht hunn et wier méiglech" sot hien. D'National Meteorological and Geophysics Agency huet awer e Freideg en Alarmsignal iwwer héich Wellen verëffentlecht an opgeworf. Et huet speziell festgestallt datt "Samschdeg 10. a Sonndeg 11. indonesesch Gewässer géifen Stuermkraaftwellen gesinn hunn" awer trotz den schrecklechen Warnungen déi de KM Teratai fir d'Mier gesat huet.	Eng indonesesch Fähr mat 300 Passagéier ass ënnergaangen.	0
47	Spannungen a Schluechte tëscht griichescher Police an anarchisteschen Demonstranten hunn am Zentrum vun Athen Griicheland während der Anti-Krichsdemonstratioun vum 4. European Social Forum stattfonnt déi an der griichescher Haaptstad stattfënnt vum 4. bis de 7. Mee 2006. De Marsch vun de ronn 1.000 Anarchisten ass mat Konflikter tëscht Gruppen vun Anarchisten a Police opgehalen. Riot Police huet Tréinegas benotzt während eng Filial vun enger griichescher Bank engem Fastfoodgeschäft a ronn 50 Buttekfenster am Zentrum vun Athen beschiedegt goufen.	D'Onrouen a Griicheland hunn de 6. Dezember ugefaang.	0
48	Dem Libyen säi Fall géint Groussbritannien an d'USA betrëfft de Sträit iwwer hir Fuerderung fir d'Ausliwwerung vu Libyen déi ugeklot gi fir e Pan Am Jet iwwer Lockerbie am Joer 1988 ze sprengen.	Ee Fall betrëfft d'Ausliwwerung vu libesche Verdächtegen an der Pan Am Lockerbie Bombardement.	1
49	Argentinien huet Hëllef vu Groussbritannien op hirem Privatiséierungsprogramm gesicht an huet britesch Investitiounen encouragéiert.	Argentinien huet UK Expertise iwwer Privatiséierung a Landwirtschaft gesicht.	0
50	"Amplaz vun Aktioun op Kriminalitéit hu mir de Féderalen laang Pistoul Registry déi gouf zu engem bloated bürokratesch Albtraum fir verantwortlech Jeeër Baueren a ländleche Kanadier. Et kascht Steierzueler e puer CA $ 2 Milliarden an et huet näischt gemaach Waff Kriminalitéit ze reduzéieren. " sot Harper. Déi Konservativ hunn Amnestie fir onregistréiert Waffebesëtzer ginn. Zu dësem Zäitpunkt gëtt et keng Gesetzgebung virum House of Commons. De konservativen Garry Breitkreuz vu Saskatchewan huet de Gesetzesprojet deposéiert deen d'Long-Pistoul Registry ëmbréngt.	De Garry Breitkreuz ass Member vun der konservativer Partei.	1
51	D'Fuerscher an der leschter Etude hunn eng Grupp vu Mais eng Diät gefiddert an där 60 Prozent vun de Kalorien aus Fett koumen. D'Diät huet ugefaang wéi d'Mais all Männercher 1 Joer al waren wat mëttelalterlech an der Mausdauer ass. Wéi erwaart hunn d'Mais geschwënn Unzeeche vun onendlecher Diabetis entwéckelt mat staark vergréissert Liewer an hunn ugefaang vill méi fréi ze stierwen wéi d'Mais déi eng Standard Diät gefiddert hunn.	Am Alter vun engem Joer goufen männlech Mais mat enger Diät gefüttert an där 60 Prozent vun de Kalorien aus Fett kommen.	1
52	D'Zaldoten déi arabesch Kappbekleedung gedroen hunn goufen virgeworf op d'irakesch Police ze schéissen wéi se bei enger Stroossespär gestoppt goufen.	D'Zaldoten hunn en zivilen Auto gefuer a waren an zivil Kleeder gekleet wéi e Schéiss tëscht hinnen an irakesche Patrullen stattfonnt huet.	0
53	D'USA géife gär gesinn datt d'UN-Waffeinspekteren zréck an den Irak kommen wann d'Iraker konkret affirméierend an demonstréierbar Aktiounen huelen "fir voll Zesummenaarbecht ze weisen" sot de Clinton.	UN Waffeninspektere kéinten am Irak bleiwen sot de Clinton.	0
54	Den 12. August koum de San Carlos Bataillon op Minen déi op hire Wee geluecht goufen an een Zaldot gouf ëmbruecht während zwee schwéier blesséiert goufen. Mëttlerweil den 10. August hunn urban Kommandoen e Patrouilléierauto iwwerrascht an eng Granat am Auto gefall véier blesséiert an d'Gefier deelweis zerstéiert.	E Patrullauto gouf vum San Carlos Bataillon attackéiert.	0
55	Bomb-sniffing Hënn goufen Rodriguez Mulberry St.	Bomb-sniffing Hënn goufen op Rodriguez senger Mulberry St.	0
56	Erstaunlech nei Fuerschung iwwer Handyen behaapt datt se dem Mann seng Spermienzuel vu bis zu 30% reduzéiere kënnen.	Männlech Fruchtbarkeet kann duerch d'Benotzung vun engem Handy beaflosst ginn.	1
57	D'Aarbechter an der Lufthansa Technik Automotive Fabréck zu Dublin sollen haut iwwer Ännerunge vun den Aarbechtspraktiken ofstëmmen déi vun der Gestioun vun der Firma gesicht ginn. D'Fligermotor Ënnerhalt Firma huet gewarnt datt d'Oflehnung vun de Virschléi eng geplangten € 17230m Investitioun an der Rathcoole Planz bedroht an Aarbechtsplazen a Gefor bréngen. D'LTA seet datt et keng Entloossungen oder Lounschnëtt sicht an déi geplangten Investitioun géif d'Zukunft vun der Planz fir déi nächst 15 Joer garantéieren. D'Aarbechtspraktiken Ännerungen ginn no dem Zesummebroch vun de Gespréicher vun der Aarbechtskommissioun iwwer dës Saach gesicht.	Lufthansa Technik Automotive entlooss 30 Aarbechter.	0
58	Et iwwerschreift d'Regele vum globalen Handel déi duerch den allgemenge Vertrag iwwer Tariffer an Handel oder GATT am Joer 1947 etabléiert ass a geännert a multiple Verhandlungsronnen zënterhier.	GATT gouf 1947 gegrënnt.	0
59	De Vizepresident Dick Cheney huet en Dënschdeg eng Obszönitéit op de Senatbuedem gehäit fir e rosen Austausch mam Vermont Sen. Patrick Leahy ze punktuéieren wéi all Senatoren sech fir hir alljährlech Foto versammelt hunn.	Cheney verflucht op Sen Patrick Leahy.	1
60	Bei de Generalwahlen am Mee 2005 huet de Michael Howard net d'Labour-Regierung entlooss obwuel d'Konservativen 33 Sëtzer gewonnen hunn déi bedeitendst Roll gespillt hunn fir d'Majoritéit vun der Labour vu 167 op 66 ze reduzéieren.	Bei de Chamberwahlen am Mee 2005 kruten déi Konservativ 33 Sëtzer.	0
61	Den Norwegian Newspaper Corpus ass e grousst a selbstausdehnend Corpus vun norwegesche Zeitungstexter. D'Sammlung vun dësem dynamesche a stänneg wuessende Corpus huet am Joer 1998 ugefaang.	Dagbladet ass eng norwegesch Zeitung.	0
62	D'Hollänner déi Indonesien bis 1949 regéiert hunn hunn d'Stad Jakarta Batavia genannt.	Fréier (bis 1949) Batavia Jakarta ass déi gréisste Stad an Haaptstad vun Indonesien.	0
63	Den Numm fir den neisten James Bond Film gouf haut annoncéiert. Den 22. Film fréier nëmmen als "Bond 22" bekannt wäert "Quantum of Solace" heeschen. EON Productions déi de Film produzéieren hunn d'Ukënnegung haut an de Pinewood Studios gemaach wou d'Produktioun fir de Film zënter dem leschte Joer amgaang ass. Den Numm vum Film gouf inspiréiert vun enger Kuerzgeschicht (mam selwechten Numm) vu For Your Eyes Only vum Bond Creator Ian Fleming.	Den James Bond gouf vum Ian Fleming erstallt.	1
64	D'gastric Contournement Operatioun och als Mo stapling bekannt ass déi allgemeng chirurgesch Prozedur fir d'Behandlung vun Obesitéit ginn.	Obesitéit gëtt medizinesch behandelt.	1
65	D'Käschte vum Konsument vun den USA sinn am Juni gefall.	D'US Konsumentenausgaben hunn am Juni gedaucht.	0
66	De fréiere Leader vum Irak gouf leschte Sonndeg an d'Spidol bruecht nodeems hie sechzehn Deeg refuséiert hat ze iessen. Awer no Noriichtenagenturen huet hien den Hongerstreik opgehalen andeems hien Mëttegiessen um Geriicht zu Bagdad giess huet. "De Saddam huet Rëndfleesch a Reis a Cola mat Brout giess dat hien aus dem Spidol bruecht huet" sot eng Quell zu der Reuters Noriichtenagence. Hien huet mat dräi Co-Verteideger gefaasst a si hu méi Sécherheet fir hir Verteidegungs Affekote gefuerdert vun deenen dräi ëmbruecht goufen.	E puer Australier hu gefaasst fir ze protestéieren.	0
67	D'Sonia Gandhi kann an den nächste Wahlen an Indien vum BJP besiegt ginn.	D'Sonia Gandhi gëtt vum BJP besiegt.	0
68	Den israelesche Premier Ariel Sharon huet gesot datt de Mahmoud Abbas e Mann ass mat deem Israel Geschäfter maache kann.	De palästinensesche Leader Mahmoud Abbas kann een mat Israel schwätzen.	1
69	D'Tempe Hometown Premiere wäert all d'Bedeitung vun engem mega-Hollywood Event hunn dorënner roude Teppech Arrivée Klieg Luuchten jäizende Fans Paparazzi a Medienofdeckung vun de Stäre vum Film ënner der Leedung vum Wolverine selwer Hugh Jackman an dorënner Liev Schreiber Ryan Reynolds  Taylor Kitsch Lynn Collins will.i.am an Regisseur Gavin Hood. No engem haart gekämpften Concours iwwer Dausende vu Stied a Stied uechter d'USA ass den Tempe triumphant entstanen an enger wäitreechender Stadwäit Offer fir de Gala Event z'erreechen. De Buergermeeschter Hugh Hallman selwer huet d'Gemeinschaft ralléiert déi mat Dosende vu Videoen eropgaang ass déi op YouTube gepost goufen.	Den Hugh Jackman spillt d'Roll vum Wolverine am Film.	1
70	Am Oktober awer am Mëttelpunkt vun steigenden Spannungen tëscht der Regierung an Oppositiounsgruppen huet eng Autobombe en Oppositiounspolitiker schwéier blesséiert a säi Chauffeur zu Beirut ëmbruecht.	E Member vun der Oppositioun gouf bei enger Autobommenattack zu Beirut blesséiert.	1
71	De Weinstock huet suergfälteg Dosende vu Studien iwwerpréift fir Beweiser fir all Link tëscht Sonneschutzverbrauch an entweder eng Erhéijung oder Ofsenkung vum Melanom.	Hautkriibs Zuelen eropgoen.	0
72	Déi meescht Leit kennen d'Iddi vu St. Bernards oder aner Hënn un de Rettungs- an Erhuelungsefforten deelzehuelen. Roboter kënnen och un Sich- a Rettungsmissiounen deelhuelen.	Robotere gi benotzt fir vermësst Affer ze fannen.	1
73	Illinois gebuer Charlton Heston war e 27 Joer ale Schauspiller aus Broadway an Televisioun wann hien zu Hollywood ukomm fir e fënnef-Bild Kontrakt mat Hal Wallis.	Charlton Heston gouf zu Illinois gebuer.	1
74	Dem Ruth säin 1927 eenzege Saisonrekord vu 60 Heemlafe stoungen oniwwertraff bis de Roger Maris 61 am Joer 1961 getraff huet.	D'Babe Ruth huet a senger Liewensdauer 60 Homeruns geschloen.	0
75	Déi däitsch Technologie gouf benotzt fir déi existent Maglev Linn vu Shanghai ze bauen déi éischt op der Welt fir kommerziell benotzt ze ginn.	Maglev gëtt kommerziell benotzt.	1
76	SEATTLE - UNO Bande Leader Clay Roueche soll op d'mannst 30 Joer hannert Baren verbréngen no senger Iwwerraschung schëlleg Plädoyer hei en Dënschdeg fir Verschwörung fir Kokain ze schmuggelen Marihuana an illegal Drogen Gewënn sot den US Affekot Jeffrey Sullivan. De Sullivan sot ausserhalb vum Geriicht datt dem Roueche seng Leedung vun der gewaltsamer UNO-Bande an der Raffinesséierung vun der internationaler Drogenverschwörung all Faktore sinn déi benotzt gi fir e längere Saz - bis zum Liewen - fir den 33 Joer ale Kanadier ze plädéieren. An hien huet betount datt de Plädoyer Accord mam Roueche net "eng Aart vu Paus mat Respekt fir d'Uerteel" enthält.	De Clay Roueche huet 33 Joer.	1
