index,sentence1,sentence2,label
158,De Sam huet béid seng Knéchel gebrach an hie geet mat Krätschen. Awer an e Mount oder sou sollten se onnéideg sinn.,D'Krätschen sollten onnéideg sinn.,1
159,Ech hunn e Pin duerch eng Muert gestach. Wéi ech de Pin erausgezunn hunn huet en e Lach hannerlooss.,D'Muert huet e Lach hannerlooss.,0
160,De Sam huet probéiert e Bild vu Schofhiirte mat Schof ze molen awer si hunn am Endeffekt méi wéi Hënn ausgesinn.,D'Schof huet am Endeffekt méi wéi Hënn ausgesinn.,1
162,D'Pompjeeë ware virun der Police ukomm well se vu sou wäit ewech koumen.,D'Pompjeeë koume vu sou wäit ewech.,0
163,Ech hu probéiert d'Schlass mam Schlëssel opzemaachen awer irgendeen hat d'Schlëssellach mat Knätsch gefëllt an ech krut en net eran.,Ech krut de Schlëssel net eran.,1
164,An enger Saach war de Mark sech sécher. Den Harry wousst vill manner wéi hien.,Den Harry wousst vill manner wéi de Mark.,1
165,D'Dakota Prärie louch sou waarm an hell ënner der schéngender Sonn datt et net méiglech geschéngt huet datt se jeemools vum Wand an dem Schnéi vun deem haarde Wanter geplot war.,Et huet net méiglech geschéngt datt d'Prairie jeemools vum Wand an dem Schnéi vun deem haarde Wanter geplot war.,1
166,Et war e Summermëtteg an den Hond souz an der Mëtt vun der Wiss. No enger Zäit ass en opgestan an ass ënnert de Bam geréckelt well et war him waarm.,Dem Hond war waarm.,1
167,De Frank huet sech gerechtfäerdegt gefillt wéi säi laangjärege Konkurrent Bill verroden huet datt hien de Gewënner vum Concours war.,De Frank war de Gewënner vum Concours.,1
168,D'Joan ass séchergaangen dem Susan Merci ze soen fir all d'Hëllef déi si offréiert huet.,D'Joan ass sechergaangen dem Susan Merci ze soen fir all d'Hëllef déi d'Susan offréiert huet.,1
169,Si hunn eng Ukënnegung iwwerdroen awer e Metro koum an d'Gare an ech konnt se net héieren.,Ech konnt d'Ukënnegung net héieren.,1
170,De John huet Recherchen an der Bibliothéik gemaach wéi hien e Mann héieren huet dee gesummt a gepaff. Hie war ganz genervt.,De John war ganz genervt.,1
171,D'Maria huet hir Flütt erausgeholl an eent vun hire Liiblingsstécker gespillt. Si hat et gär säit si e Kand war.,Si hat d'Stéck gär säit si e Kand war.,1
172,Ech si sécher datt meng Kaart dëst Gebai uweist; se ass ganz gutt.,D'Kaart ass ganz gutt.,1
173,D'Carol huet gegleeft datt d'Rebecca bereit huet datt si d'Auer geklaut huet.,D'Carol huet gegleeft datt d'Rebecca bereit huet datt d'Rebecca d'Auer geklaut huet.,1
174,Den Dësch passt net duerch d'Dier well en ze enk ass.,D'Dier ass ze enk.,1
175,Wann de Gauner et fäerdeg bruecht hätt de Sam ze verarschen hätt hie vill Sue verluer.,De Gauner hätt vill Sue verluer.,0
176,De Sam huet e Stull virun de Piano gesat awer e war gebrach dofir huet hien amplaz misse sangen.,De Piano war futti dofir huet hien amplaz misse sangen.,1
177,De Fred ass deen eenzege liewege Mënsch dee mäi Papp als Puppelchen kannt huet. Wéi de Fred mäi Papp fir d'éischt gesinn huet war hien zwielef Méint al.,Wéi de Fred mäi Papp fir d'éischt gesinn huet war de Fred zwielef Méint al.,0
178,D'Anna huet beim Test vill besser ofgeschnidden wéi hir gutt Frëndin Lucy well hatt sou vill geléiert huet.,D'Lucy hat sou vill geléiert.,0
179,D'Jane huet un d'Dier geklappt an d'Susan huet geäntwert. Si huet hatt invitéiert erauszekommen.,D'Susan huet hatt invitéiert erauszekommen.,0
180,De Wee fir bei de Séi war blockéiert sou datt mir en net erreeche konnten.,Mir konnten de Séi net erreechen.,1
181,D'Grace war frou hire Pullover fir meng Jackett ze tauschen. Si fënnt e gesäit almoudesch aus.,D'Jackett gesäit almoudesch aus.,0
182,De Kirilov huet d'Presidence un de Shatov ofginn well hie méi populär war.,De Kirilov war méi populär.,0
